Type,Method,Peak,Analysis,Area
Non-purified,D,peak 2,1º,9.69
Non-purified,D,peak 2,2º,10.16
Non-purified,D,peak 2,3º,10.57
Non-purified,D,peak 2,4º,10.68
Non-purified,D,peak 3,1º,0.54
Non-purified,D,peak 3,2º,0.7
Non-purified,D,peak 3,3º,0.64
Non-purified,D,peak 3,4º,1.25
Non-purified,D,peak 4,1º,57
Non-purified,D,peak 4,2º,56.84
Non-purified,D,peak 4,3º,58.01
Non-purified,D,peak 4,4º,54.53
Non-purified,D,peak 5,1º,6.74
Non-purified,D,peak 5,2º,6.72
Non-purified,D,peak 5,3º,6.66
Non-purified,D,peak 5,4º,6.97
Non-purified,D,peak 6,1º,8.96
Non-purified,D,peak 6,2º,8.65
Non-purified,D,peak 6,3º,8.1
Non-purified,D,peak 6,4º,7.75
Non-purified,D,peak 7,1º,8.27
Non-purified,D,peak 7,2º,8.21
Non-purified,D,peak 7,3º,7.9
Non-purified,D,peak 7,4º,9.01
Non-purified,D,peak 8,1º,4.67
Non-purified,D,peak 8,2º,4.1
Non-purified,D,peak 8,3º,4.23
Non-purified,D,peak 8,4º,4.35
Non-purified,D,peak 9,1º,1.66
Non-purified,D,peak 9,2º,1.73
Non-purified,D,peak 9,3º,0.94
Non-purified,D,peak 9,4º,2.15
Non-purified,D,peak 10,1º,1.29
Non-purified,D,peak 10,2º,1.5
Non-purified,D,peak 10,3º,1.17
Non-purified,D,peak 10,4º,1.78
Non-purified,E,peak 1,1º,1.43
Non-purified,E,peak 1,2º,1.44
Non-purified,E,peak 1,3º,1.37
Non-purified,E,peak 1,4º,1.55
Non-purified,E,peak 1,5º,1.44
Non-purified,E,peak 2,1º,9.71
Non-purified,E,peak 2,2º,10.57
Non-purified,E,peak 2,3º,10.41
Non-purified,E,peak 2,4º,10.58
Non-purified,E,peak 2,5º,10.72
Non-purified,E,peak 3,1º,1.31
Non-purified,E,peak 3,2º,1.25
Non-purified,E,peak 3,3º,1.21
Non-purified,E,peak 3,4º,1.36
Non-purified,E,peak 3,5º,1.27
Non-purified,E,peak 4,1º,55.58
Non-purified,E,peak 4,2º,54.96
Non-purified,E,peak 4,3º,54.88
Non-purified,E,peak 4,4º,54.46
Non-purified,E,peak 4,5º,54.66
Non-purified,E,peak 5,1º,7.26
Non-purified,E,peak 5,2º,7.87
Non-purified,E,peak 5,3º,7.68
Non-purified,E,peak 5,4º,7.66
Non-purified,E,peak 5,5º,7.62
Non-purified,E,peak 6,1º,8.06
Non-purified,E,peak 6,2º,7.66
Non-purified,E,peak 6,3º,7.48
Non-purified,E,peak 6,4º,7.54
Non-purified,E,peak 6,5º,7.25
Non-purified,E,peak 7,1º,8.15
Non-purified,E,peak 7,2º,8.47
Non-purified,E,peak 7,3º,8.53
